munisid,muni_name,autonomia,province,adj_impact,gdppc,religious,c_secondplus,trust2,log_pop,age,class_upper,civil_married,longitude,latitude,dist_river,dist_sea
4840,Bargas,7,45,0.009740259498357773,16841.478515625,0.875,0.5835000276565552,NA,9.210540771484375,43.625,NA,NA,-4.074224472045898,39.948204040527344,10.296378135681152,422.6824951171875
4841,Cabañas de Yepes,7,45,0.003246753243729472,20333.14453125,NA,0.3781999945640564,NA,5.627621173858643,NA,NA,NA,-3.5375254154205322,39.89293670654297,21.22138023376465,362.41436767578125
4842,Belvís de la Jara,7,45,0,17159.181640625,1.7777777910232544,0.24250000715255737,-0.8978824615478516,7.437206268310547,55.22222137451172,0,0.5555555820465088,-4.939190864562988,39.751121520996094,8.296278953552246,425.82342529296875
4843,Buenaventura,7,45,0.003246753243729472,18157.26171875,1.6666666269302368,0.31870001554489136,NA,6.135564804077148,56.11111068725586,0,0.7777777910232544,-4.874263286590576,40.1694450378418,31.29444694519043,435.6136474609375
4844,Burguillos de Toledo,7,45,0.003246753243729472,19252.9765625,1.5384615659713745,0.6139999628067017,NA,8.0070343017578125,47.5,0.0416666679084301,0.7647058963775635,-3.9920847415924072,39.78133773803711,10.67593765258789,410.0745849609375
4845,Burujón,7,45,0.006493506487458944,18776.88671875,NA,0.3695000112056732,NA,7.268919944763184,NA,NA,NA,-4.289474964141846,39.886600494384766,4.043863296508789,444.2529296875
4846,Cabezamesada,7,45,0.009259259328246117,18262.025390625,NA,0.442300021648407,NA,5.998936653137207,NA,NA,NA,-3.0915274620056152,39.825294494628906,37.646488189697266,311.86993408203125
4847,Calera y Chozas,7,45,0.016233766451478004,16372.0078125,1.7222222089767456,0.4918000102043152,NA,8.46379280090332,49.83333206176758,0,0.7777777910232544,-5.017672538757324,39.87776184082031,8.241193771362305,429.52191162109375
4848,Caleruela,7,45,0.006493506487458944,18675.59375,NA,0.35120001435279846,NA,5.459585666656494,52.25,0,NA,-5.252073287963867,39.86965560913086,11.546083450317383,403.81451416015625
4849,Calzada de Oropesa,7,45,0.019480518996715546,18015.25,NA,0.353300005197525,NA,6.320768356323242,NA,NA,NA,-5.303175449371338,39.98073196411133,23.637346267700195,395.1883850097656
4850,Camarena,7,45,0.019480518996715546,18330.3203125,1.7352941036224365,0.4625999927520752,-1.492688775062561,8.239593505859375,51.70588302612305,0.03030303120613098,0.5882353186607361,-4.115761756896973,40.107627868652344,31.95696258544922,431.2408142089844
4851,"Campillo de la Jara, El",7,45,0.003246753243729472,18248.822265625,NA,0.32680001854896545,NA,6.016157150268555,NA,NA,NA,-5.050815105438232,39.57557678222656,28.462425231933594,397.6864013671875
4852,Carriches,7,45,0,19817.990234375,NA,0.3991999924182892,NA,5.71702766418457,NA,NA,NA,-4.457979679107666,39.966487884521484,10.656327247619629,457.1426696777344
